127.0.0.1 - - [29/Nov/2023:09:41:45 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:41:52 +0530] "GET /Games/Cart.jsp HTTP/1.1" 200 6862
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:41:52 +0530] "GET /Games/css/templatemo_style.css HTTP/1.1" 200 9574
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:41:52 +0530] "GET /Games/css/font-awesome.min.css HTTP/1.1" 200 17780
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:41:52 +0530] "GET /Games/images/cart.png HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:41:52 +0530] "GET /Games/css/templatemo_misc.css HTTP/1.1" 200 26386
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:41:52 +0530] "GET /Games/css/bootstrap.min.css HTTP/1.1" 200 99957
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:41:52 +0530] "GET /Games/js/jquery-1.10.2.min.js HTTP/1.1" 200 93575
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:41:52 +0530] "GET /Games/js/jquery.singlePageNav.js HTTP/1.1" 200 5674
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:41:52 +0530] "GET /Games/js/jquery.flexslider.js HTTP/1.1" 200 52710
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:41:52 +0530] "GET /Games/js/custom.js HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:41:52 +0530] "GET /Games/js/jquery.prettyPhoto.js HTTP/1.1" 200 22060
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:41:52 +0530] "GET /Games/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 200 44432
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:41:53 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:41:58 +0530] "GET /Games/Welcome.jsp HTTP/1.1" 200 7942
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:41:58 +0530] "GET /Games/images/slide1.jpg HTTP/1.1" 200 194627
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:41:58 +0530] "GET /Games/images/slide2.jpg HTTP/1.1" 200 233999
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:41:58 +0530] "GET /Games/images/slide3.jpg HTTP/1.1" 200 240407
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:42:01 +0530] "GET /Games/logout.jsp HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:42:04 +0530] "GET /Games/index.jsp HTTP/1.1" 200 7197
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:42:13 +0530] "GET /Games/Registration.jsp HTTP/1.1" 200 6624
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:42:13 +0530] "GET /Games/images/login.png HTTP/1.1" 200 8457
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:42:17 +0530] "GET /Games/login.jsp HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [29/Nov/2023:09:42:20 +0530] "GET /Games/index.jsp HTTP/1.1" 200 7197
