127.0.0.1 - - [02/Dec/2023:10:44:33 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [02/Dec/2023:10:44:40 +0530] "GET /Games/index.jsp HTTP/1.1" 200 9006
0:0:0:0:0:0:0:1 - - [02/Dec/2023:10:44:41 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:03:33 +0530] "GET /Games/Registration.jsp HTTP/1.1" 200 6624
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:03:34 +0530] "GET /Games/login.jsp HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:03:36 +0530] "GET /Games/Contact.jsp HTTP/1.1" 200 6412
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:03:36 +0530] "GET /Games/images/contact.png HTTP/1.1" 200 15164
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:03:40 +0530] "GET /Games/logout.jsp HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:03:42 +0530] "GET /Games/index.jsp HTTP/1.1" 200 9006
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:06:21 +0530] "GET /Games/Contact.jsp HTTP/1.1" 200 6412
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:06:39 +0530] "GET /Games/logout.jsp HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:06:41 +0530] "GET /Games/index.jsp HTTP/1.1" 200 9006
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:16:41 +0530] "GET /Games/Contact.jsp HTTP/1.1" 200 6412
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:17:30 +0530] "GET /Games/Welcome.jsp HTTP/1.1" 200 7942
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:17:30 +0530] "GET /Games/images/cart.png HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:18:39 +0530] "GET /Games/logout.jsp HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:18:40 +0530] "GET /Games/index.jsp HTTP/1.1" 200 9006
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:18:43 +0530] "GET /Games/Contact.jsp HTTP/1.1" 200 6412
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:18:45 +0530] "GET /Games/Welcome.jsp HTTP/1.1" 200 7942
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:18:46 +0530] "GET /Games/Registration.jsp HTTP/1.1" 200 6624
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:18:48 +0530] "GET /Games/login.jsp HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:18:49 +0530] "GET /Games/index.jsp HTTP/1.1" 200 9006
